,label,category,ISBN,title,author,publisher,new_keyword,new_subject
0,1,3,9788937437496,인연,피천득,민음사,시인 수필 오월 박준 박완서 수필집,
1,1,5,9791129706126,"최태성 한국사능력검정시험: 심화(1, 2, 3급)",최태성,메가스터디,스토리텔링 광개토대왕 기출문제 파이널 압축 막판,
2,1,5,9788901240114,다시 쓰는 여성 세계사,매기 앤드루스,웅진지식하우스,페미니즘 여성학 시선 페미니스트 문화정치 역사학자,
3,1,1,9788956609959,종의 기원,정유정,은행나무,인간본성 어머니 작가 한국소설 본성 유진,살인자 인간본성 악인
4,1,1,9788936477936,"알로하, 나의 엄마들",이금이,창비,가족 여성 청소년소설 한국소설 장편소설 여성서사,한국소설 청소년소설 여성서사 일제강점기 근현대사 가족 여성 엄마
5,1,1,9788937460586,싯다르타,헤르만 헤세,민음사,성장소설 데미안 사문 바라문 뱃사공 타마,성장소설
6,1,1,9788937462788,노인과 바다,어니스트 헤밍웨이,민음사,미국소설 노벨문학상 퓰리처상 실존철학 마지막소설 미국현대문학,퓰리처상 미국현대문학 미국소설 노벨문학상
7,1,3,9788965708827,혼자여서 괜찮은 하루,곽정은,포르체,연애 일상 심리학 한국에세이 위로 마음챙김,한국에세이 명상 혼자 소확행 연애 일상 마음챙김 심리학
8,1,5,9791195677153,열한 계단,채사장,웨일북(whalebooks),차라투스트라 철학에세이 우파니샤드 계단 인문과학 불편,철학에세이 인문과학
9,1,32,9791188432189,회사 문 닫고 떠난 한 달 살기,여행에미치다,그루벌미디어,여행에세이 바르셀로나 빈티지 포틀랜드 뉴질랜드 베를린,
10,1,32,9788927807674,아름다운 자전거길 50,이준휘,중앙북스,추천코스 여행코스 자전거여행 순환 삼양 동해,
11,1,32,9791187496250,자전거여행 바이블(2017-2018),이준휘,꿈의지도,,
12,1,32,9791186517925,오늘은 이 바람만 느껴줘,청춘유리,상상출판,,
13,1,32,9788927810063,프렌즈 동유럽('19~'20)(Season 9),박현숙,중앙북스,여행가이드북 유럽여행 체코 베스트 프라하 크로아티아,
14,1,32,9788994939919,디스 이즈 타이완(This is Taiwan)(2020-2021),신서희,테라출판사(TERRA),여행가이드북 타이베이 타이 대만여행 동부 숙소예약,
15,1,32,9788925559728,"스물셋, 죽기로 결심하다",조은수,알에이치코리아,웹툰 케냐 에티오피아 갱스터 마다가스카르 우간다,
16,1,32,9788925561998,멀리서 반짝이는 동안에,안시내,알에이치코리아,,
17,1,7,9788990828613,읽기 혁명,스티븐 크라센,르네상스,책읽기 만화책 스리랑카 영어교육 언어교육 교육방법,
18,1,11,9791136225870,프로야구 스카우팅 리포트(2020),최훈,하빌리스,시나리오 감독 야구 히어로즈 이글스 이슈,
19,1,11,9788975276316,재난시대 생존법,우승엽,들녘,심리치료 응급처치 생존 락스 아쿠아 서바이벌,
20,1,11,9791158463052,"일상을 엮다, 라탄 라이프",김경희,비타북스,,
21,1,11,9791160320794,스티커 아트북: 강아지,싸이프레스 콘텐츠기획팀,싸이프레스,스티커북 그레이 하운드 아이슬란드 치와와 진돗개,
22,1,11,9791155361436,20가지 인테리어 법칙,아라이 시마,즐거운상상,,
23,1,15,9791155400050,감정은 습관이다,박용철,추수밭,행복 자기관리 자기혁신 대인관계 긍정 우울,
24,1,15,9788934995258,메이크 타임,제이크 냅,김영사,유튜브 시간관리 전술 스마트폰 하이라이트 디폴트,시간관리
25,1,15,9791196612474,마음에 불을,정회일,열아홉,멘토 청춘 죽음 코칭 삶 독서,
26,1,9,9788998038427,휴머니튜드 입문,혼다 미와코,물고기숲,간호사 치매노인 요양보호사 치매환자 네스트 케어,
27,1,9,9788962630725,밀가루 똥배,윌리엄 데이비스,에코리브르,베이글 엑소 현대 오리엔탈 찾기 셀리,
28,1,9,9791185459578,병의 90%는 걷기만 해도 낫는다,나가오 가즈히로,북라이프,일본 치매예방 걷기 몸만들기 아사히 노르딕,
29,1,9,9788956993362,다이어트의 정석,수피,한문화,근력운동 운동 운동프로그램 유산소운동 건강법 체중감량,
30,1,11,9788996959984,놀라운 리얼 종이접기. 2: 하늘을 나는 생물편,후쿠이 히사오,에밀,상상력 스마트폰 플로라 카사 우루스 서울시,
31,1,11,9791160320282,스티커 아트북: 명화. 2,콘텐츠기획팀,싸이프레스,스티커북 네이처 나폴레옹 르누아르 고갱 타히티,
32,1,11,9788956768021,스포츠지도사 문제집 세트(2020 시험대비),진성태 외,대경북스,심리학 교육학 사회학 운동 유아 체육사,
33,1,11,9791196219321,카밍 시그널(Calming Signals),투리드 루가스,혜다,반려동물 강아지 스트레스 반려견과 노르웨이 굿맨,
34,1,11,9791189485122,감 매거진(GARM Magazine). 15: 플라스틱,감씨(garmSSI) 편집부,감씨(garmSSI),복합재료 건축재료 파빌리온 이건희 김용철 기본재료,
35,1,11,9788958205142,정원생활자의 열두 달,오경아,궁리,노트 화훼 가드 정원사 화분 손바닥,
36,1,11,9791160320640,스티커 아트북: 고양이,콘텐츠기획팀,싸이프레스,유튜브 아메리칸 블루 봄베이 러시안 로로,
37,1,11,9791136002334,스포츠지도사 필기 한권끝장(2020),정수봉,에듀윌,적중 운동생리학 운동역학 한국체육사 장애유형 유소년,
38,1,11,9788959795512,인기 강아지 도감 174,일동서원 본사편집부,Gbrain(지브레인),,애견기르기 반려동물 반려견
39,1,11,9791160320237,스티커 아트북: 명화,콘텐츠기획팀,싸이프레스,,
40,1,11,9791190641005,선인장도 말려 죽이는 그대에게,송한나,책밥,로드킬 페페 프로스트 로미오 올리브 골드,
41,1,11,9788954752565,펭아트 #페이퍼토이북,차니 (심희찬),EBS한국교육방송공사,장난감 아티스트 도면 프레디 프랑수아 클럽,
42,1,11,9791196719425,내 강아지 마음 상담소,강형욱,혜다,냄새 유튜브 배변 장난감 문제행동 산책,
43,1,11,9791188700622,하루 10분 꼼수 살림법,김영은,청림라이프,태블릿 주방 청소기 테트리스 청정기 케미,
44,1,11,9788993746518,디즈니 프렌즈,일과놀이콘텐츠연구소,북센스,,
45,1,11,9788993746631,디즈니 겨울왕국2,일과놀이콘텐츠랩,북센스,엘사 스티커북 소환 친구 안나 크리스토프,
46,1,11,9791196219383,당신은 개를 키우면 안 된다,강형욱,혜다,반려동물 강아지 문제행동 교육 솔루션 탐구생활,
47,1,11,9788959759811,새로운 코바늘 손뜨개의 기초,일본보그사,한스미디어,배색 코바늘뜨기 대바늘 워머 방법 장식,
48,1,21,9788953120501,"팀 켈러, 결혼을 말하다",팀 켈러,두란노서원,성경 하나님나라 설교 아내 찬송가 기독교결혼,기독교결혼
49,1,21,9788904141180,5가지 사랑의 언어,게리 채프먼,생명의말씀사,,
50,1,21,9788938814623,목적이 이끄는 삶,릭 워렌,디모데,하나님 신앙생활 크리스천 두란노 예배 관계회복,
51,1,21,9791160401455,스님의 주례사,법륜,휴,결혼생활 인연 부부관계 행복 주례사 배우자,
52,1,21,9791196987909,기독교와 선거,이정훈,PLI,,
53,1,21,9788960975835,하나님의 때,"햇살콩(김나단, 김연선)",규장,,
54,1,17,9788990809353,촘스키처럼 생각하는 법,노르망 바야르종,갈라파고스,미디어 심리학 여론조사 교양인 경쟁사 방어,
55,1,17,9788971999486,노무현 전집,노무현,돌베개,기억 소환 세대 정치가 대통령 유시민,정치가
56,1,29,9788983711892,코스모스,칼 세이건,사이언스북스,우주 교양과학 과학자 케플러 갈릴레오 뉴턴,교양과학 우주 은하계 태양 천문학 과학자
57,1,29,9791155424353,바이러스 쇼크,최강석,매일경제신문사,,교양과학 과학이야기 전염병 감염
58,1,29,9788962622508,떨림과 울림,김상욱,동아시아,과학이야기 물리학 우주 인공지능 유시민 플로라,과학이야기 물리학 빅뱅이론 양자역학
