,country,city_name,code,guide_type,title
0,Netherlands,Amsterdam,75545,가이드 투어,[프라이빗 투어] 암스테르담 출발 베네룩스 3국 6일 투어 (네덜란드/벨기에/룩셈부르크) 
1,Netherlands,Lisse,67398,스냅촬영,[스냅] (4시간) 네덜란드 최고의 큐켄호프 튤립 축제에서 멋진 사진을! (네덜란드/리세)
2,Netherlands,Hague,53194,여행편의,[통역] 네덜란드 한국어-영어 통역 (네덜란드/헤이그)
3,Netherlands,Giethoorn,60152,가이드 투어,[투어] 1-2인 여행자를 위한 영어 가이드 투어 - 네덜란드 히트호른 & 북해 대제방
4,France,Paris,61515,가이드 투어,[투어] 유럽 버스투어 '핏팩&유로파문도' 암스테르담&파리 6일
5,Netherlands,Amsterdam,50476,가이드 투어,[투어] 네덜란드와 벨기에 한 번에 끝내기 10일 투어 (네덜란드/암스테르담)
6,Netherlands,Amsterdam,18614,스냅촬영,"[스냅] (3시간) 암스테르담 스냅, 여행을 예술로 남기세요. :: 네덜란드/암스테르담"
7,Netherlands,Rotterdam,47481,가이드 투어,[투어] 건축가와 함께하는 로테르담 도시 산책 :: 네덜란드/로테르담
8,United Kingdom,London,66554,여행편의,"[인천공항 수령] 유럽 유심 - EE/Three 유심 3종 / (영국 유심, 프랑스 유심, 독일 유심, 이탈리아 유심, 스페인 유심, 유럽 주요국가 사용 가능)"
9,France,Paris,53666,여행편의,"[공항유심] -더블데이터 프로모션 - KPN유심, TDC유심, 쓰리유심 ( 수령비 무료)"
10,Germany,Berlin,12350,가이드 투어,[투어] 하루에 다 보는 베를린 가이드 투어  (독일/베를린)
11,Germany,Berlin,51459,가이드 투어,[투어] 현지 미술사 대학원생이 설명하는 박물관 섬(뮤지엄 인젤) [최대 6인] (독일/베를린)
12,Germany,Nordreihn Westfalen,51095,가이드 투어,[투어] 쾰른 밤 산책 :: 독일/쾰른
13,Germany,Munchen,11558,가이드 투어,뮌헨근교 당일치기 넘버원! 퓌센 노이슈반슈타인성으로 떠나는 시간여행
14,Czech Republic,Praha,8693,가이드 투어,"[1+1이벤트/가격할인]프라하근교차량투어""독일 드레스덴&작센의스위스""(#할인쿠폰제공#) "
15,Germany,Nürnberg,78384,가이드 투어,[유럽리버크루즈] 로맨틱 라인강 유럽리버크루즈 8일 - 스위스/프랑스/독일/네덜란드
16,Germany,Berlin,74967,가이드 투어,[투어] 베를린에서 만나는 클래식과 모던 (독일/베를린)
17,Germany,Stuttgart,75836,가이드 투어,[투어] 자동차디자이너와 함께가는 메르세데스-벤츠박물관! (독일/슈투트가르트)
18,United Kingdom,London,66554,여행편의,"[인천공항 수령] 유럽 유심 - EE/Three 유심 3종 / (영국 유심, 프랑스 유심, 독일 유심, 이탈리아 유심, 스페인 유심, 유럽 주요국가 사용 가능)"
19,France,Paris,53666,여행편의,"[공항유심] -더블데이터 프로모션 - KPN유심, TDC유심, 쓰리유심 ( 수령비 무료)"
20,Luxembourg,Luxembourg,30767,가이드 투어,**브뤼셀출발** 룩셈부르크+디낭 소규모 차량투어 
21,Luxembourg,Luxembourg,7782,가이드 투어,"[룩셈부르크]주요 포인트만 모아보는 반짝, 시내투어"
22,Luxembourg,Luxembourg,7781,가이드 투어,[룩셈부르크] Villeroy & Boch 아울렛 쇼핑
23,United Kingdom,London,66554,여행편의,"[인천공항 수령] 유럽 유심 - EE/Three 유심 3종 / (영국 유심, 프랑스 유심, 독일 유심, 이탈리아 유심, 스페인 유심, 유럽 주요국가 사용 가능)"
24,France,Paris,53666,여행편의,"[공항유심] -더블데이터 프로모션 - KPN유심, TDC유심, 쓰리유심 ( 수령비 무료)"
25,Germany,Dusseldorf,60636,여행편의,"[무료 배송] 유럽 유심 - EE/Three/KPN 유심 5종 / (영국 유심, 프랑스 유심, 독일 유심, 이탈리아 유심, 스페인 유심, 유럽 주요국가 사용 가능)"
26,Germany,Munchen,34163,여행편의,[플레이유심]데이터2배제공 이벤트중 KPN/쓰리/EU 유럽유심 (공항수령무료/출국전일가능)
27,United Kingdom,London,76622,여행편의,"[유럽 유심] Vodafone 유럽 통합유심 데이터 3GB, 10GB, 20GB /30일"
28,Czech Republic,Praha,53676,여행편의,[플레이유심] *데이터2배 이벤트중! LTE 유럽유심 KPN 데이터/통화유심(출국전일가능)
29,United States of America,Hawaii,35342,스냅촬영,"[인천공항수령] 미러리스 카메라 1일 대여권, 소니 A5100"
30,Monaco,Monaco,31811,스냅촬영,[모나코스냅][남프랑스스냅] 모나코 왕국에서 영화같은 인생사진을! 스냅촬영 1시간
31,Monaco,Monaco,20660,스냅촬영,[모나코스냅][남프랑스스냅] 모나코 왕국에서 영화같은 인생사진을! 스냅촬영 2시간
32,Monaco,Monaco,16167,가이드 투어,남프랑스 4박 5일 투어 [유일한 파리정식여행사(관광청.교통부)]
33,Monaco,Monaco,81298,가이드 투어,모나코 출발 : 모나코 & 몬테 카를로 & 에즈 빌리지 반나절 투어
34,Monaco,Monaco,81296,가이드 투어,모나코 출발 : 코트 다쥐르(프랑스 리비에라) 당일치기 투어
35,Monaco,Monaco,77139,티켓/교통패스,모나코 : 시티투어 버스 패스 (1일권/2일권)
36,France,Nice,73657,가이드 투어,이남일 가이드의 남프랑스 미니팩 2박3일 / 5박6일
37,France,Nice,50898,가이드 투어,프랑스 리베이라 지방 프라이빗 반일 투어
38,France,Nice,50896,가이드 투어,[니스 출발] 모나코 & 에즈 전일 투어
39,France,Nice,50894,가이드 투어,[니스 출발] 모나코 & 몬테 카를로 & 에즈 전일 투어
40,Netherlands,Amsterdam,75545,가이드 투어,[프라이빗 투어] 암스테르담 출발 베네룩스 3국 6일 투어 (네덜란드/벨기에/룩셈부르크) 
41,Belgium,Bruges,73773,가이드 투어,[투어] 하루만에 벨기에 겐트+브뤼헤를 둘러보는 워킹투어 (벨기에/겐트/브뤼헤)
