code,country,city_name,guide_type,title,intro,review,area,interest,company
36982,Turkey,Cappadocia,가이드 투어,[투어] 카파도키아 투어 필수 그린투어(한국어/영어) :: 터키/카파도키아,"카파도키아에서 특별한 장소를 가고 싶다면 꼭 필요한 투어 그린투어 입니다차량으로 대략 400km 를 이동하며 중요하고 쉽게 보지 못하는 장소를 관광 하는 투어입니다자연적인 바위에 손으로 직접 동굴을 만들어 생활하고 종교적 의미가 있는 셀리메 수도원과터키의 그랜드 캐년이라고 불리는 으흘라라 계곡을 트래킹하며 최대의 자연적인 지하도시를방문 하는 투어로 신기하고 특별한 카파도키아를 만나보실 수 있습니다* 카파도키아에서 정식 한국어 가이드를 진행하는 여행사는 리얼터키가 유일합니다. (전용가이드 자체운영) 코스 : 괴레메 파노라마  지하도시  으흘라라 계곡 트래킹  셀리메 수도원  스타워즈 촬영장소 등 (코스의 순서는 현장에서 되도록 원활한 진행을 위하여 변동이 있을 수 있습니다) 포함사항 :가이드, 호텔에서 픽업 및 드롭, 점심식사, 모든 입장료, 차량 포함 (짐보관이 가능합니다)* 점심식사(풀코스 터키식)  계곡 레스토랑에서 식사 (점심식사중 음료는 별도입니다.) (스프  샐러드  빵  메인요리 (생선소고기채식 등 6가지 메인요리중 택1)  후식) 괴레메, 네브세히르, 위르굽, 우치사르, 아바노스 지역 모두 픽업 가능 투어시간 : 9:30  17:00 (동계시즌)  9:30  18:00 (하계시즌)",정말 좋았습니다^^가이드분이 한국어 너무잘하시고 재밌어요!무스타파 가이드님 쵝오!!!! 그린투어 하면서 엄청 웃었고 재밌었어요.  ,자연,Kn,혼자
47103,Turkey,Cappadocia,가이드 투어,[투어] 한국어/영어 카파도키아 그린투어 :: 터키/카파도키아,"**3월은 코로나바이러스  입국제한 등으로 인하여 한국어투어를 위한 모객이 부족한 상태이며,  영어투어로만 진행됩니다**카파도키아에서 혼자 보기 어려운 명소들로 구성된 그린투어입니다카파도키아 여행자의 90% 이상이 참여한다는 카파도키아 그린투어!카파도키아는 대중교통이 발달된 지역이 아닙니다.대중교통으로 가기 힘든 메인유적지 데린쿠유지하도시를 편하게 투어 차량으로 이동!4 km 정도 되는 으흐랄라계곡트래킹은 저절로 힐링이 되는 힐링 코스~!봐도 봐도 신기한 카파도키아의 모습! 한국어 가이드와 함께하세요~[투어코스] 괴레메 파노라마2. 데린쿠유 지하도시3. 으흘랄라 계곡(미니트래킹)4. 셀리메동굴수도원5. 스타워즈 촬영지 등*코스의 순서는 현지상황에 따라 변동될 수 있습니다* [한국어 투어 진행 요일  시간 ]월,수.금.일  10:00~ 17:00(영어투어는 매일 진행되며, 요금은 같습니다. 예약 전 요일을 꼭 체크하세요)*한국어 투어 최소인원 5인이 충족이 안될 시, 영어투어로 대체됩니다*투어 당일에 영어투어로 변경된 경우 요청시 취소 및 환불[예약시 참고사항]투어예약 시 예약진행을 위하여 아래의 정보를 함께 알려주세요.투어 참여자 모두의 영문성함픽업샌딩을 위한 투어당일 숙박하시는 호텔 영문명연락가능한 연락처(+카카오톡 아이디)*투어 예약인원이 많아 대형버스로 진행되는 경우 호텔 차량진이 어려울 수 있습니다. 이 경우에는 괴레메 등 호텔 숙박손님을 괴레메 중심에 위치한 버스터미널까지 개별적으로 이동해주셔서 투어를 참여해주셔야 될 수 있습니다.[포함내역]숙박호텔 픽업 및 샌딩한국어 가이드(또는 영어가이드)가이드 차량점심(음료별도)모든 입장료************************************************************터키 하나로여행사는 정식 라이센스가 있는 여행사입니다. 하나로여행사를 통하여 안전하며, 즐거운 여행을 계획하세요.************************************************************카파도키아는 지형이 험하므로, 그린투어시, 편한 신발을 착용하시기 바랍니다. (구두, 슬리퍼보다는 운동화)","가이드님도 좋았고, 여행 코스 자체가 알찼습니다~한국어 가이드가 모객 부족으로 영어 가이드로 갔는데 두번의 쇼핑몰이 있었지만 그다지 기분 나쁘지는 않았어요. 무스타파 가이드 진짜 좋아요!! 무스카파 재밌어요",자연,Kn,가족
45262,Portugal,lisbon,가이드 투어,리스본 미식워킹투어 (포르투갈/리스본),'포르투는 일하고 코임브라는 공부하고 브라가는 기도하고 리스본에서 즐긴다.' 라는 포르투갈 속담이 있습니다.리스본을 잘 알아가는 첫 번째 방법은 먹고 마시며 즐기는 것입니다.두 번째 방법은 저와 함께 하는 것이죠!밍스투어의 핵심은 워킹투어와 미식투어를 동시에 경험할 수 있다는 겁니다. 리스본의 중심 바이샤 지구에서 시작하여 역사와 문화가 가득한 무라리아 지구와 알파마 지구를 걷습니다.  걷는 동안 저의 설명을 통해 그들의 삶을 이해할 수 있습니다 :)  또한 중간 중간 리스본의 숨겨진 로컬맛집 5곳에서 와인 또는 음료 및 포르투갈식 음식을 즐기고 마지막으로 리스본의 아름다운 선셋을 보며 약 4시간의 여정을 마무리 합니다.(계절에 따라 변동가능)가이드 밍이 준비한 이야기에 당신의 이야기를 더해 소중한 추억을 만들어 볼까요?,"어머니랑 둘이 떠나는 여행이었는데, 너무너무 좋았어요! 설명도 친절하고 자세하게 잘 해주시고, 맛본 주류와 음식들도 모두 맛있었습니다 :) 음식과 관련된 설명 뿐만 아니라 리스본과 포르투갈의 역사적인 설명도 같이 해주셔서 너무 유익했습니다. 춥고 비오늘 날씨였는데도 불구하고 즐거운 투어였어요~~밍가이드님과 편안하고 여유롭게 리스본을 둘러보는 미식투어 너무너무 좋아요👍 맛있게 먹고 재미있는 이야기 들으며 즐거운 시간 이였습니다. 구석구석 너무 이쁜 곳 돌아다녀서 행복했어요 ",도시,Fo,혼자
32452,Portugal,lisbon,가이드 투어,[한국어 투어]'로맨틱 파라다이스' 신트라(포르투갈/리스본) ,"리스본에서 30분만 벗어나도 전혀 다른 세상이 펼쳐집니다. 시인 바이런이 '에덴 동산'이라 찬양한 신트라에는 판타지 소설 속에서 튀어나온 듯한 헤갈레이라 별장을 비롯해 동화 같은 공간이 가득해요. 앤틱한 와인 창고에서 바다 내음 가득한 와인을 들이킨 뒤엔 엽서처럼 예쁜 절벽 마을에서 배를 채우고 갑니다. 신트라 시내가 한눈에 내려다보이는 페나성의 황홀한 전경, '세상의 끝'이라는 말이 실감나는 호카곶까지... 로맨틱한 하루를 선사합니다. * 2월부터 인원 수를 늘리고(1~20명) 가격을 낮춘(70유로) 새 상품 '로맨틱 파라다이스 신트라 season 2 '로 개편합니다. 아래 예약 현황에서 새 투어 진행 예정인 날을 확인하실 수 있어요. 3월부터는 100% 이 새 상품으로만 신트라 투어가 진행될 예정이므로 3월 이후로는 4~7인 소규모 투어 예약이 불가능합니다. * 벨렘~카스카이스를 돌아보는 또다른 차량 투어와 리스본 트램 투어가 곧 오픈 예정입니다(현재 마이리얼트립 심사 중). 신트라 투어와 벨렘 투어, 혹은 트램 투어를 함께 예약하실 경우 신트라 투어 비용의 10%를 할인해드리니 3월 이후 예약하시는 분들은 문의 주세요! *2월 예약 현황2월 18일  season 2로 예약 가능2월 21일  season 2로 예약 가능2월 23일  season 2로 예약 가능2월 29일  season 2로 예약 가능*3월 이후  '로맨틱 파라다이스 신트라 season 2'로 예약 가능*이 투어는 최대 7명으로 진행하는 소규모 그룹 투어이며 투어 차량은 Mercedes Benz Sprinter(대형 9인승)입니다. 투어 후 공항에 가시거나 숙소를 옮기시는 경우 캐리어를 얼마든지 싣고 투어 가능합니다. 투어 중 드실 생수는 하루 종일 제공해드리며 차량 안에서 와이파이 연결이 가능합니다.   *모든 장소에는 가이드가 함께 입장해 사진도 찍어드리고 설명도 해드립니다. 숨어있는 예쁜 공간들과 포토 스팟 등을 구석구석 소개해 드려요. 페나성에서는 성 외부뿐 아니라 내부 입장도 가능합니다만 성수기엔 예외가 있고 날씨에 따라 추천을 드립니다. *여행자분들의 페나성, 헤갈레이라 저택 입장료, 점심 식사비는 투어비에 포함되어 있지 않습니다. 페나성은 7.5 (외부만)혹은 14유로(내부까지), 헤갈레이라 저택은 10유로입니다. 리스보아 카드가 있으실 경우 10~20% 할인, 18세 이하 및 65세 이상도 할인이 가능합니다. *또 다른 근교 차량투어 상품으로는 리스본 북쪽 근교인 '파티마~나자레~오비두스' 코스가 있습니다.","리스본 오신다면 신트라를 빼먹을수없죠 설명은 물론이고 정말 친절하시고 재밌습니다 여행 많이 다녀봤지만 이렇게 편한 가이드님은 처음이세요 아직 안가본 분들은 이 투어 꼭~ 신청하세여 돈아깝지않고 정말 알차고 편한한 투어입니다!!그리고 일정이 끝나고 따로 여행자들에게 어려움이있는 음식점예약 을 도와주시는데 저희는 따로 예약할게없었지만 필요하신분은 도움을 주실거에요👍🏻👍🏻 갔던곳 모두 이쁘고 짱입니다말이 필요없습니다!!!!!강추합니다.개인이 다니려면 정말 힘든 코스인데 벤츠타고 편언히 잘 다녀왔어요.빡빡하지도 않았고 그렇다고 루즈하지도 않아요정말 만족했던 투어에요.가이드님 목소리도 너무 좋고 해박한 지식을편안하게 말씀해 주십니다~~마지막 노을보면서 준비해준 와인은 정말 감동이었구요중간에 와이너리 들르시면 와인 꼭 사세요~~전 한국들어오기전에 숙소에서 다 마셨네요 ㅎ혼자갔는데도 불구하고 사진도 많이 남겼오요.한국 들어와 시차적응하느라 이제 후기 남기네요~^^혼자가서 걱정했는데 동행분들도 너무 좋았고, 가이드님이 시종일관 편하게 해주시고 차분한 분위기로 힐링하게 해 주셨어요^^소규모로 진행되어서 더 좋았고요~여행마무리는 준비해주신 포트와인에 멋진 일몰로~ ♡ 유쾌하신 남편(미겔)분과 편안하게 해주신 가이드님 덕분에 리스본에 좋은 기억 담고 왔어요~",자연,Sh,혼자
48672,Portugal,Porto,가이드 투어,[투어]나만 알고 싶은 포르투 낭만투어  [낮워킹투어+야경포함] [예약시 리스본 또는 신트라 5유로 환급],"*3월 투어부터는 기존 출발시간인 오후 2시 출발로 변경됩니다. 식사시간은 오후 6시에 진행될 예정입니다*10년전 터키에서 시작하여 스페인, 포르투갈에서 다년간 쌓인 후기가 증명하듯이 여행자의 다정한 동반자로서 추억을 함께 했습니다. 한국인 운영 포르투갈 현지 여행사 Hasan Sen U. LDA 로서 합법적인 투어를 진행하고있습니다. * 나자르투어 쿠폰 제공 * 투어 참여시 나자르투어의 다른 도시 투어에서 사용 가능한 5유로 환급 쿠폰을 드립니다 ^^포르투갈의 낭만을 느낄수 있는 '포르투'포르투에서 가장 오래된 역사깊은 지역입니다.빨간지붕 사이 가득한 하얀 낭만을 느끼며 같이 걸어보아요.걷다보면 빼꼼히 고개를 내민 고양이, 집집마다 걸린 알록달록 빨래, 삐그덕 거리는 올드 트램잘 익어가는 포도 향기에나도 모르게 포르투에 빠지게 됩니다.맛과 풍경은 필수! 음악은 덤!비긴어게인2 촬영장소에서 버스킹과 함께 하는 식사멋진 강의 뷰와 루이스1세 다리가 주는 어울림의 풍경들 고풍적인 경치와 함께 즐기는 현지 식당에서 가이드와 함께 점심식사 수많은 포르투갈어 메뉴판에서 메뉴 고르느라 고생많으셨습니다.  메뉴 추천부터 메뉴 주문까지 가이드가 도와드립니다.  걱정마시고 맘껏 편하게 식사하세요. 투어 중 전용 수신기 사용가이드의 음성을 통하여 라디오를 듣는 것 처럼 편안하게 구경하실 수 있습니다.영화의 주인공이 된것같은 분위기에 맞춘 음악들이 함께해요편하게 사진을 찍어도 괜찮아요! 가이드와 조금 멀리 떨어져도 자유롭게 사진을 찍으며 설명을 들을 수 있습니다.사람들로 붐비는 관광지에서도 가이드의 설명에 집중하여 설명을 들을 수 있습니다.해리포터 서점이라고 불리는 세계에서 가장 아름다운 서점 '렐루서점'조앤롤링 작가의 대표작 해리포터의 모티브가 된 '분수대'티비에도 나온 세계에서 가장 '좁은' 집화려함이 가득한 세계에서 가장 아름다운 '맥도날드'세게에서 가장 아름다운 기차역 '상 벤투 기차역'포르투만의 아름다운을 간직하고 있는 '포르투 대성당'따뜻한 전망을 보여주는 도우강의 '히베이라 광장'와이너리가 줄비한 '빌라 노바 데 가이아'포르투갈 최고의 경치를 '세하 두 필라르 수도원'에서!!화려한 수식어들로 가득한 포르투 투어,지금 나자르 투어와 함께하세요!포르투 투어 코스1. 클레리구스 타워 성당2. 렐루서점3. 해리포터 분수대4. 세상에서 가장 좁은 집5. 세계에서 가장 아름다운 맥도날드6. 상 벤투 기차역7. 루이스 1세 다리8. 포르투 대성당 9. 히베이라 광장10. 빌라 노바 데 가이아11. 세하 두 필라르 수도원*본 투어는 야경감상 및 효율적인 동선을 위해 오후 6시경 식사 시간을 드리기에 참고하여주세요*인원, 날씨 현지 상황에 따라 투어 종료까지 6시간 30분~7시간 30분 소요 될 수 있습니다.",가이드님이 너무 너무 너무 친절하시고 설명도 쉽게 잘 해주셨어요! 포르토가 언덕이 엄청 많아서 무조건 운동화 신어야되요. 저는 그 날 14km 걸었더라고요. 포르토에서 유명한 쨈은 (기념품) 가이드님이랑 같이 가서 사면 활인도 받을 수 있으니까 미리 쇼핑하지 마세요! 나자르투어 포르토 워킹투어 강추합니다!신비 가이드님 덕분에 유럽에서 일년  살면서 참여해 본 워킹투어 중 단연코 최고의 워킹투어였다고 말할 수 있습니다!일단 낮에 시작해서 아경까지 보고 끝나는 알찬 일정 구성이 좋습니다! 신비 가이드님이 구성하신 가성비 좋은 저녁 식사 장소는 전세계적 비상 사태인 코로나로 인해 일시적으로 문을 닫아 맛 보지 못했지만 대신 맛있는 에그타르트집 등등 정보 많이 알려주셨어요! 코로나 때문에 문 닫은 곳이 많고 비바람까지 불어서 힘드셨을텐데 힘든 내색 없이 저희보다 더 아쉬워 하시고 공감해주셨습니다.따뜻하고 친절하게 대해주시고 여러가지 설명 해 주셔서 덕분에 포르토에 대한 기억이 좋게 남았습니다! 정말 감사합니다!!덕분에 구경잘하고 포르투에 대해 알고갑니다:),도시,Ex,혼자
36308,Portugal,lisbon,가이드 투어,"[투어]리스본 아름다운 골목의 로맨틱한 스토리, 로맨틱투어 / 예약시 신트라 또는 포르투 5유로 환급","*리스본 로맨틱투어(알파마, 모라리아 지구)** 7세이하(만6세) 어린이 예약시 19,000원10년전 터키에서 시작하여 스페인, 포르투갈에서 다년간 쌓인 후기가 증명하듯이 여행자의 다정한 동반자로서 추억을 함께 했습니다. 한국인 운영 포르투갈 현지 여행사 Hasan Sen U. LDA 로서 합법적인 투어를 진행하고있습니다. * 나자르투어 쿠폰 제공 * 투어 참여시 나자르투어의 다른 도시 투어에서 사용 가능한 5유로 환급 쿠폰을 드립니다 ^^빨간 지붕사이의 낭만, 드넓게 펼쳐진 파란 테주강, 설레임을 가득 싣고 달리는 노란 트램형형색색의 빈티지 타일 건물사이의 나부끼는 하얀 빨래좁고 가파른 언덕을 오르면 만날수 있는 황홀한 전망엽서 한장 같은 풍경을 골목에서 얼마든지 만날수 있는 이 곳!!수백년의 역사와 추억을 담고 있는 알파마지구,                                                           우리 함께 걸을까요?투어 중 전용 수신기 사용 가이드의 음성을 통하여 라디오를 듣는 것 처럼 편안하게 구경하실 수 있습니다. 영화의 주인공이 된것같은 분위기에 맞춘 음악들이 함께해요 편하게 사진을 찍어도 괜찮아요! 가이드와 조금 멀리 떨어져도 자유롭게 사진을 찍으며 설명을 들을 수 있습니다. 사람들로 붐비는 관광지에서도 가이드의 설명에 집중하여 설명을 들을 수 있습니다.로맨틱 투어 코스1. 호시우 광장2. 상 도밍고 성당3. 모라리아 4. 상 조르즈 성(외부설명)5. 포르타스 두 솔 광장6. 산타루치아 전망대7. 리스본 대성당8. 코메르시우 광장","정말 어렵게 도착한 리스본이었지만 한국돌아가는 항공편이 취소되어 일정보다 일찍 귀국하기로 결정했습니다. 그러던 중에 떠나기 하루 전 투어를 한 상황이었습니다.  하루라도 제대로 알고 제대로 즐기자는 욕심이 있었는데 결과적으로 너무 만족스러웠습니다! 가이드님이 열정적으로 설명해주시고 제가 흥미있는 부분에 맞춰서 역사나 건축사를 설명해 주셔서 참 좋았어요. 저 혼자 하는 투어였어서 김빠지실 만도 한데 전혀 그러시지 않고 편안하게 둘이서 이야기하며 진행했습니다. 알파마지구에서 파두도 들려주시고 다양한 시청각자료를 보여주셔서 저절로 포르투갈에 대한 관심이 생기더라구요. 집에와서는 포르투갈을 포함해 복잡한 유럽역사를 좀 더 알아보려고 책도 사서 읽고있습니다.  사진도 엄청 많이 찍어주셔서 거의 화보촬영 수준이었네요 ㅎㅎㅎㅎ 리스본 대성당 앞에서 트램과 함께 사진 찍어주시려고 트램 소리 들리면  사진찍어야 된다고 준비하라고 하셨어요막ㅋㅋㅋㅋ 이상형을 만나게 해준다는 성 안토니오 동상에 동전던지는 것도 했었는데, 세번만에 동상 책부분에 동전이 들어가서 정말 짜릿했습니다! 어쩌다보니 운좋게 혼자 투어를하게 되었습니다. 가이드님께서 힘이 빠질만도 하신데 굉장히 열심히 이것저것 설명 해 주셨고 시간 가는줄 모르고 구경했어요. 네시간이 너무 짧게 느껴졌던 투어 였습니다. 참, 사진도 너어어무 잘 찍어주세요. 제가 이렇게 예쁜지 다시한번 알았습니다. :)소피아 가이드님 정말 열정적이고 잘 하시니 고민하지 마시고 신청하세요 ㅎ",도시,Ex,혼자
33556,Portugal,lisbon,가이드 투어,[워킹&대중교통]리스본 낭만 가득한 투어 ,"리스본 시내의 꼭 가봐야 할 매력적인 관광 명소들을도보로 다니고 대중교통인 산타주스타 엘리베이터,28번 트램, 푸니쿨라 (글로리아선,비카선)을 줄서서 오래 기다리지 않고 현지인만의 팁으로비교적 쉽고 투어중 자연스럽게 탑승합니다. 도보와 대중교통을 적절히 이용하기 때문에투어는  6시간이지만 실제로 도보시간은 길지 않아요.좀더 큰 동선으로 이동하며 현지인들의 생활 모습도 보고 리스본의 다양한 모습을 느껴보세요. 밖에서는 보이지 않고 지나칠수 있는반전 매력이 있는 여행자들이 놓칠수 있는 이곳만의 숨은  매력적인 골목들도 함께 가봐요. 그리고 다른듯 비슷한 포르투갈 사람들의  문화와생활 밀착형 생생한 이야기도 하고 현재의 포르투갈이 있기 까지의 포르투갈의 재미있는역사이야기도 나눠요. * 투어정보 만나는시간:  오전 9시 투어인원: 28명 소규모 인원(한분 이실때는 해당 날짜에 다른팀 예약이 있으면 가능,따로 문의요망).세분 정도 되실때는 예약전 메세지로 마감 여부 확인 하신 다음에 예약 요망. 단독투어일 경우 최대 10명 까지 가능(별도 문의) 투어시간: 약 6시간(식사 시간 포함) 소요되며 현지 상황이나 개인차 변동 가능 투어연령: 만 6세부터 참여 가능.  미취학 아동 있을 경우 문의 요망 블루투스 송수신기 투어","코로나 여파의 마지막을 하게 될줄 몰랐네요여행자나 가이드님이나 어려운 시기 잘 극복할거라 믿습니다제목 그대로 낭만가득 시내투어였습니다첫날 투어로 매우 적합하였고, 나중에 두루두루 살펴보기 좋았어요  강추예요가이드님의  센스있고 재밌는 설명으로 투어내내 즐거웠습니다. 특히 가이드님의 리스본 생활경험과  해박한 지식으로 인해 리스본에 대해 많은 것을 알게되었습니다. 리스본 현지투어를 하고 싶은 분들께 강추합니다.꼼꼼하게  준비해주시고 투어이후에  더  감동받았습니다최고였습니다 감사합니다",도시,Ex,혼자
53192,Portugal,Porto,가이드 투어,"#제나의시선 : 포르투여행안내백서, 포르투 워킹투어 (포르투갈/포르투)","포르투라는 도시를 애정해서, 포르투에 살고 있는 사람들, 제나투어 입니다.포르투에서 살아가는 주민, 그리고 여행자의 중간에서 바라 본 시선으로 포르투를 소개해드립니다. 포르투에 오는 한국 여행객들이 조금 더 섬세하게 그리고 많이 알고 즐기길 바라는 마음을 담아 만든 #제나의시선은 어느새 포르투에서 한국어 워킹투어 중 최장기간 운영되고 있는 투어입니다!#제나의시선 투어의 목적은 여행의 취향에 따라 이후 일정이 도움이 되실 수 있게 포르투의 전반적인 것들을 소개해 드리는 것입니다. 역사도, 맛있는 곳들도, 핫하고 힙하다는 곳도! 게다가 포르투의 유명 명소까지 한 번에 모든 것을 경험할 수 있는 여행안내백서! 투어를 듣고 난 후에 이후 일정이 결정되는 신기한 경험을 하실거예요 :D 때문에 시간을 들여 보셨으면 하는 공간들은 투어시간에 입장하지 않습니다. 지인들에게, 만나는 동행들에게 입소문타고 알려진 #제나의시선, 포르투 한국어 워킹 투어에 오시는 분들께 포르투를 기깔나게 소개해드릴게요. 동네 언니가, 누나가, 동생이 소개하는 것처럼 자연스럽고 유쾌하게 현지인+여행자 중간에서 당신의 여행을 큐레이팅 해드립니다! 믿고 따라오시면 역사, 문화, 식문화 그리고 멋집 정보가 솔솔. #제나의시선의 특별함 소수정예 워킹투어  #제나의시선은 투어자분들의 여행 일부분이 되고 싶습니다!포르투에 대해 더 많이 즐기고 가셨으면 하는 마음을 담아 만들어졌기에 가이드, 투어자끼리의 교류 또한 투어의 중요한 요소입니다.송 수신기를 사용하지 않는 이유는 같은 인원이라도 송수신기 없이 다닐 때에 서로 대화를 할 수 있기 때문입니다 :)자유여행객들의 만남의 장이 될 수 있기도 바라는 마음! 서로의 여행동행 되어주세요.인원이 많은 공간에서는 필요에 따라 마이크를 사용합니다.많은 분들을 만나고 싶지만 더 좋은 투어를 위해 최소 2명 ~ 최대 10명(성수기 12명)으로 제한합니다.  2.  포르투 동네 완전 정복 제나투어가 직접 만든 효율적인 투어 코스를 통해 포르투 지리 정복! 따라 걷다보면 설명을 듣다보면 어느새 포르투 한 바퀴를 다 돌 수 있습니다3. 투어 전 부터 챙기는 세심함투어 하루 전, 포르투, 포르투갈에 대한 정보를 아실 수 있도록 자료를 공유합니다카톡 아이디를 꼬옥 남겨주세요4. 포르투갈의 역사문화포르투갈, 포르투의 기원들을 재밌게 설명해드려요역사적 배경지식이 필요한 건축물과 거리는 귀에 쏙쏙 들어오는 설명을 곁들여서!5. 현지 핫 플레이스 공유 랜드마크 뿐만 아니라 현지 젊은 친구들이 찾는 핫플레이스, 뷰포인트도 알려드려요.  투어 후 소개드린 식당과 디저트집 리스트를 공유합니다 :)6.  카메라를 주세요!  포르투의 명소에서, 전망대에서, 포르투 느낌이 가득한 스팟에서 잠시 멈춰 사진을 찍어요.   혼여객(혼자 여행하는 분들)을 위해 제나가 다~찍어드려요. 부담없이 부탁하세요.7. 쉬어가는 시간에도 알차게 4시간동안 계속 걷는 다는 건 너무 힘드시겠죠? 중간 중간 쉬는 시간이 있답니다 쉬는 시간 동안에도 알차게 즐길 수 있도록 포르투의 먹거리와 함께 쉬어갑니다 투어 시간 이 외에 다시 찾아오기 어렵다는 점을 공감하여 주전부리를 경험합니다* 투어는 제나투어 가이드들이 스케줄에 따라 투어를 진행하며 가이드를 지정할 수 없습니다. 가이드들 모두 포르투를 애정하는 마음을 가득 담아 투어자분들을 만나고 있으니 어떤 가이드의 투어라도 만족하실 거예요!","강추해요!! 포르투와서 이거 안들으면 사실상 아무것도 모르고 돌아다니고 사진만 찍을텐데 역사- 문화- 종교 모든것을 아울러서 설명해주셔서 포르투뿐 아니라 리스본등 다른 포르투갈 내 여행지 갔을때도 다르게 보였어요 확실히 알고보면 다르게 보여요 사진도 찍어주시고 간단한 스낵도 서로 나눠먹었어요!! 그만큼 편안하고 친절하지만 또 설명이 풍부해서 정말 강추합니다!! 다음에 또 가게된다면 그땐 제나의야식이랑 제나소풍도 신청하고 싶어요제나 가이드님 친절한 설명 및 투어 중 여러가지로 꼼꼼히 챙겨줘서 감사합니다. 투어 후 까지도 챙겨줘서 포르투에서 든든하게 여행할 수 있었습니다. 하루전날 예약했고, 코로나 영향인지 두명이서 투어했는데도 열정적으로 설명해주셔서 너무좋았습니다! ",도시,Ex,친구
14231,Latvia,Riga,가이드 투어,"리가 음식, 문화 워킹 투어"," 본 투어는 영어로 진행되며, 다국적 여행자들과 함께하는 단체 투어로 진행됩니다.  여행 확인증이 아닌, 영어로 된 바우처를 지참하셔야 합니다.  [ 이 투어의 매력 포인트! ] 올드 리가의 역사적인 거리를 산책하며 리가 성당(Riga Cathedral)과 같은 기념물을 만나보세요. 세계에서 가장 큰 아르누보 건축물을 탐험해보세요. 리가 중앙 시장에서 라트비아 음식을 맛보세요. 아르누보 지역 빌딩의 외관에 숨겨진 의미를 발견해보세요. 리가를 독특하게 만들어주는 전설과 이야기를 들어보세요.[ 투어 코스 ]반나절 동안 리가의 가장 필수적인 지역 3군데에서 음식과 문화 투어를 해보세요. 도시의 역사와 이야기를 듣고 세계에서 가장 큰 아르누보 건축 컬렉션을 만나보세요.아름다운 올드 리가에서 투어를 시작합니다. 이 곳은 세계에서 오래된 문화 중 하나인 라트비아 문화에 대해서 볼 수 있습니다. 올드 리가, ""Vecrīga""라고도 불리는 이 곳에서는 중세 도시의 벽, 리가 성당(Riga Cathedral) 그리고 Blackheads를 볼 수 있습니다.다음으로는 주목할만한 아르누보 지역으로 이동하세요. 이 지역에서 현지 가이드가 아름다운 외관 뒤에 숨겨진 상징의 의미에 대해 설명 해줄 것입니다. 거리 마다 있는 은행, 사무실, 아파트에서 아르누보 건축의 걸작을 만나보세요.리가 중앙시장에서는 현지 음식을 맛봅니다. 유럽에서 가장 큰 시장인 아름다운 아르데코와 신고전주의 풍 시장에서 시식을 해보시고 친환경적으로 키운 현지 농산물을 맛보세요.  예약 방법  캘린더에서 이용 일자와 인원을 선택해 주세요.   구매하기 단계에 픽업샌딩을 위한 호텔정보를 기재해 주세요.   예약 확정 후 '예약 내역' e티켓(바우처)에서 만나는 시간 및 장소를 반드시 재확인하시기 바랍니다.",여러가지를 한꺼번에 볼수 있어 좋음올드타운+아르누보+중앙시장까지= 리가에 대한 기본 지식도 습득할수 있네요. 또 성심성의껏 챙겨주는 가이드도 힌몫 하네요! 라트비아에서 태어나고 자란 가이드 덕분에 공부 안 하고 온 여행도 알차게 보냈습니다. 특히 마켓에서 현지인들이 먹는 음식을 소개해주실때 재밌었어요. 아르누보 건축 양식을 입장료 없는 박물관에서 실컷 보고 온 느낌도 들었구요.,도시,Kn,혼자
58965,Latvia,Riga,티켓/교통패스,리가 : 시티투어 버스 탑승권," 본 상품은 evoucher 상품으로 '예약 내역'에서 확인되는 바우처의 출력본 혹은 모바일 제시하시면 됩니다. (여행 확인증이 아닌 영어로 된 바우처를 지참하셔야 합니다) [ 이 티켓의 매력 포인트! ] 버스로 이동하는 종합 투어입니다. 가성비가 좋은 투어입니다. 가족 단위 여행객에게 적합합니다. 기호에 따라 일정을 자유롭게 조정할 수 있습니다.리가의 주요 관광지를 자유롭게 둘러보세요! 본 티켓은 24시간 동안 유효하며, 그 동안 얼마든지 버스에 오르내릴 수 있습니다. 버스 안에서는 유익하고 재미있는 녹음 가이드가 10개 언어로 제공되며, 관광객의 편의를 생각하여 주요 관광지 앞에 정차합니다. 버스는 리가의 대표적인 관광지를 거의 모두 방문합니다. 다우가바 강을 가로지르기 때문에 양쪽에서 승하차할 수 있고, 크루즈 선착장에도 갈 수 있습니다.본 티켓을 소지한 분은 버스의 3개 노선을 모두 이용할 수 있습니다. 티켓 예약 방법  캘린더에서 이용 일자와 인원을 선택해 주세요.  예약 확정 후 '예약 내역' e티켓에서 바우처를 확인해주시기 바랍니다.",구시가지가 좁아서 크게 도움이되진 않는것 같아요,자연,Kn,허니문
